127.0.0.1 - - [24/Jan/2023:18:50:46 +0900] "GET / HTTP/1.1" 404 603
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/mail/contact.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/mail/jqBootstrapValidation.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/img/vendor-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/img/foot_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/img/qr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/img/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:18:50:49 +0900] "GET /springweb/z01_oliveyoung/img/payments.png HTTP/1.1" 304 -
